Lat,Lon,Elevation_m
36.1880989,-9.3532305,-3489
36.1809998,-9.2675304,-3850
36.1880989,-8.0391197,-3762
36.2024002,-7.6177502,-3586
36.2238007,-6.7178702,-3713
36.1451988,-12.4884996,-3965
36.1310005,-11.2173004,-3927
36.1310005,-9.41751,-3859
36.1666985,-8.55334,-3773
36.1666985,-7.9534202,-3779
36.152401,-7.7820201,-3747
36.1595001,-7.69631,-3659
36.1237984,-5.4537501,-3596
36.152401,-5.4537501,-3587
36.0881004,-10.0959997,-3947
36.1024017,-9.2318201,-3695
36.0810013,-8.55334,-3819
36.1095009,-6.8607101,-3646
36.0667,-12.5242004,-3953
36.0667,-10.2173996,-3765
36.0452995,-9.41751,-3762
36.0667,-9.1532602,-3412
36.0381012,-8.7247496,-3377
36.0237999,-6.9106998,-3556
35.9738007,-10.9959002,-3962
36.0023994,-10.0674,-3819
35.9738007,-8.6676102,-3179
35.9953003,-8.5819101,-3260
35.9309998,-12.6598997,-3916
35.9595985,-11.2672997,-3993
35.9166985,-10.9315996,-3963
35.9524002,-9.4674997,-3693
35.9309998,-6.8821402,-3596
35.8880997,-11.3243999,-3960
35.902401,-11.0459003,-3861
35.8810005,-9.9317303,-3603
35.8810005,-9.5246401,-3106
35.8023987,-11.4814997,-3921
35.8310013,-10.8958998,-3987
35.8096008,-10.2103004,-3788
35.8452988,-9.8531704,-3365
35.8310013,-9.7674599,-3409
35.8310013,-9.5960598,-3236
35.8167,-6.26793,-3591
35.7667007,-12.7384996,-3908
35.7453003,-11.5458002,-3895
35.7667007,-10.9386997,-3918
35.7952995,-6.7750101,-3650
35.7738991,-6.6893001,-3596
35.7596016,-6.4322,-3558
35.7238998,-10.2244997,-3445
35.6666985,-11.5815001,-3885
35.6809998,-10.9315996,-3870
35.6739006,-10.7888002,-3840
35.6381989,-10.7102003,-3803
35.6595993,-10.2817001,-3522
35.6096001,-10.9815998,-3849
35.6166992,-10.6245003,-3827
35.6166992,-10.4531002,-3606
35.5667992,-12.9242001,-4016
35.5810013,-11.5743999,-3834
35.5096016,-11.1316004,-3783
35.4310989,-11.3815002,-3846
35.4382019,-11.2958002,-3802
35.3953018,-12.9242001,-3849
35.4168015,-11.6457996,-3851
35.3881989,-11.4601002,-3852
35.3454018,-11.5958004,-3885
35.3096008,-11.5172005,-3728
35.2238998,-12.9098997,-4011
35.0525017,-12.8741999,-4047
34.9953995,-12.4813995,-3953
34.9953995,-12.5670996,-3942
34.9383011,-12.4171,-3957
34.9454002,-12.6385002,-3667
34.9883003,-12.8170996,-3635
34.8526001,-12.3957005,-3936
34.7811012,-12.3457003,-3949
34.7668991,-12.2600002,-3897
34.7025986,-12.2028999,-3874
34.6169014,-12.2028999,-3888
34.5239983,-12.8813,-3597
34.5526009,-12.7955999,-3816
34.473999,-12.9527998,-3811
34.4598007,-12.3100004,-3589
34.4025993,-13.0026999,-3591
34.4454994,-12.6527996,-3793
34.4311981,-12.3957005,-3690
34.0597992,-12.9813004,-3973
33.9813004,-13.0242004,-3889
33.8456001,-13.1669998,-3776
33.7669983,-13.217,-3784
33.5956001,-13.2313004,-3780
33.5385017,-13.3956003,-4002
33.4527016,-13.4313002,-3895
33.1027985,-13.4384003,-3855
31.4568996,-15.4789,-3839
31.4694004,-15.4003,-3686
31.4622993,-15.1414003,-3764
31.3873005,-15.5485001,-3796
31.2998009,-15.5825005,-3893
31.1383991,-15.3564997,-3669
31.0527,-15.3135996,-3552
30.9669991,-15.3207998,-3874
30.8456001,-16.4277992,-3800
30.8456001,-16.3419991,-3863
30.7884007,-16.4920006,-3810
30.7884007,-16.2777996,-3890
30.8099003,-15.4064999,-3847
30.7026997,-16.4992008,-3932
30.6313,-16.1492004,-3605
30.6170006,-15.6063995,-3744
30.6669998,-15.5349998,-3852
30.5956001,-16.7206001,-3572
30.5956001,-16.6348991,-3560
30.5956001,-16.6348991,-3560
30.5813007,-16.0778008,-3954
30.5456009,-16.7919998,-3511
30.5527992,-15.9920998,-3946
30.5456009,-15.8064003,-3699
30.4598999,-16.7563,-3433
30.3742008,-16.7633991,-3652
30.3171005,-16.8705006,-3701
30.2598991,-17.4705009,-3862
30.2385006,-17.2276001,-3914
30.2670994,-17.0491009,-3716
30.1385002,-17.8061008,-3915
30.1385002,-17.7203999,-3982
30.1671009,-17.6347008,-3910
30.1742001,-17.4347992,-3837
30.1527996,-17.2418995,-3877
30.0671005,-17.8561001,-3613
30.0671005,-17.5776005,-3852
30.0741997,-17.1991005,-3745
30.0028,-17.6347008,-3896
29.9314003,-17.8561001,-3754
29.9242992,-17.6776009,-3760
29.9671001,-17.1777,-3725
29.8813992,-17.1777,-3696
29.7957001,-17.2061996,-3742
29.7457008,-17.6776009,-3657
29.6814003,-17.6203995,-3625
29.6672001,-17.4489994,-3689
29.6742992,-17.3633003,-3627
29.3815002,-19.7702007,-4079
29.3314991,-19.8416004,-4014
29.3171997,-18.3132,-3849
29.2600994,-19.8915997,-3951
29.1744003,-19.9200993,-4067
29.1886997,-18.4346008,-3808
29.1243992,-19.7844009,-3977
29.0886993,-19.9130001,-4007
29.0958004,-18.4631996,-3924
29.0100994,-18.4489002,-3882
28.9458008,-19.7201996,-4080
28.9029999,-19.8558998,-3944
28.8530006,-18.3703003,-3761
28.7315998,-19.8416004,-4018
28.7744007,-19.6987,-3954
28.7672997,-18.3703003,-3859
28.6816006,-18.5202999,-3861
28.6529999,-19.8773003,-3955
28.5958996,-19.9416008,-3935
28.5743999,-19.7129993,-3968
28.5816002,-19.3631001,-4082
28.5743999,-18.5988998,-3593
28.5529995,-20.0200996,-3979
28.531601,-19.4344997,-4050
28.531601,-19.2917004,-4024
28.4673004,-19.9916,-3997
28.4887009,-19.7345009,-3768
28.4887009,-18.6275005,-3565
28.4102001,-19.7772999,-4000
28.4459,-19.4416008,-4044
28.4244995,-18.7059994,-3909
28.3602009,-19.4701996,-4053
28.3887997,-19.1774006,-3759
28.3244991,-19.9701004,-3962
28.3244991,-19.7915993,-3483
28.3031006,-19.1702003,-3759
28.3458996,-18.8631001,-3911
28.2887993,-19.7129993,-4044
28.2887993,-19.6273003,-4015
28.2672997,-18.9417,-3619
28.2101994,-19.1201992,-3856
28.1602001,-20.0272999,-4070
28.0744991,-20.0272999,-3852
28.0387993,-19.1131001,-3466
27.9888,-20.0058002,-3947
28.0174007,-19.0417004,-3883
27.9244995,-19.9487,-3983
27.8103008,-19.8129997,-3853
27.8316994,-19.0631008,-3814
27.7745991,-19.7345009,-3784
27.7745991,-19.1273994,-3751
27.6530991,-19.6130009,-3662
27.5816994,-20.1487007,-3997
27.5674,-19.5988007,-3545
27.5245991,-20.2129993,-3809
27.5245991,-20.2129993,-3809
27.5317001,-20.0772991,-3965
27.4389,-19.8272991,-3904
27.4675007,-19.655899,-3655
27.4174995,-20.1914997,-3872
27.4246006,-19.7416,-3894
27.3388996,-20.1557999,-3913
27.1604004,-20.1343994,-3866
27.0247002,-19.9916,-3652
26.9389992,-19.9843998,-3883
26.7460995,-20.0272999,-3921
26.6604004,-20.0200996,-3919
26.4818993,-19.4202003,-3738
26.4747009,-19.5058994,-3704
26.4962006,-19.9130001,-3758
26.4319,-19.3488007,-3704
