Lat,Lon,Elevation_m
47.3553009,22.7642994,-3630
47.3446007,22.8761005,-3661
47.2977982,22.9654999,-3630
47.2640991,22.5648994,-3676
47.2319984,23.0177994,-3631
46.7229996,23.8369007,-3003
46.6795006,23.7285004,-3213
46.5695,20.5247002,-3484
46.5690002,20.6387997,-3479
46.5895004,21.2238007,-3547
46.5736008,21.3297005,-3446
46.5168991,20.8390007,-3398
46.1610985,19.0895004,-3520
45.9939003,18.3787003,-3635
45.9519997,18.6982002,-3541
45.9808998,18.8003006,-3554
45.9425011,18.5823994,-3530
45.7237015,15.0703001,-3517
45.7156982,15.1758003,-3544
45.6641006,15.2586002,-3536
45.5821991,14.7599001,-3567
45.5458984,14.6325998,-3577
45.5082016,13.9626999,-3615
45.4782982,14.0750999,-3604
45.4929008,16.3836994,-3482
45.4637985,17.1674995,-3427
45.4121017,14.1201,-3811
45.4570999,15.5249004,-3811
45.4082985,15.7329998,-3478
45.4320984,16.2896996,-3528
45.4463997,16.6271,-3502
45.4249001,16.8239002,-3785
45.4436989,16.8491001,-3801
45.4578018,16.9526005,-3714
45.4463005,17.0622997,-3528
45.3560982,12.5105,-3461
45.3835983,12.7201996,-3667
45.403801,14.3648996,-3440
45.3927994,15.3008003,-3434
45.3636017,15.8174,-3552
45.353199,12.9257002,-3630
45.3055992,13.1254997,-3652
45.3415985,14.1454,-3872
45.3265991,14.3311996,-3467
45.2691994,13.4363003,-3631
45.2871017,13.5394001,-3631
45.2630005,14.1316004,-3857
45.2521019,14.3267002,-3457
45.1907997,14.1526003,-3884
45.1300011,14.2097998,-3911
45,14.4145002,-3285
44.9216003,14.4029999,-3245
44.781601,14.7756996,-3523
44.8036995,14.8900003,-3463
44.7663994,14.9820004,-3669
44.7112007,14.3214998,-3131
44.6678009,11.8971004,-3709
44.6682014,14.4060001,-3543
44.6731987,14.5077,-3513
44.6954002,15.0221004,-3406
44.5993004,13.8692999,-3361
44.6203003,15.0215998,-3148
44.5553017,11.3865995,-3778
44.577301,11.4934998,-3785
44.5656013,11.6170998,-3619
44.5959015,13.9743004,-3401
44.4995995,11.2747002,-3685
44.5191994,13.6792002,-3043
44.4530983,13.625,-3003
44.4880981,13.1227999,-3279
44.4286995,9.4641104,-3560
44.3950005,9.5645399,-3604
44.3988991,10.6070004,-3658
44.3819008,13.6008997,-2987
44.4071999,13.0965004,-3274
44.3599014,9.4956903,-3523
44.3373985,10.0314999,-3756
44.3614006,10.1589003,-3827
44.347599,10.3851995,-3586
44.3292999,13.3514996,-3348
44.3692017,13.2489004,-3314
44.339901,13.1691999,-3262
44.3241997,9.5867996,-3523
44.2943001,9.73104,-3599
44.3117981,13.5560999,-3166
44.257,9.6314001,-3534
44.2643013,9.8232498,-3622
44.2710991,13.2061996,-3080
44.1874008,9.59338,-3541
44.1725998,13.1809998,-3352
44.1166992,9.6154699,-3538
44.1301994,13.0903997,-3437
44.0074997,9.8001299,-3531
44.0578995,13.0740004,-3445
43.9556007,13.2215996,-3033
43.8167992,13.2733002,-3450
43.7556,9.8893604,-3502
43.7602005,13.2098999,-3393
43.6960983,9.7982903,-3663
43.7249985,13.1225004,-3338
43.6985016,13.0277004,-3337
43.6348991,9.7453899,-3716
43.6766014,12.8140001,-3056
43.6419983,12.9028997,-3287
43.6281013,13.0017996,-3257
43.6360016,13.118,-3201
43.6623001,13.2126999,-3249
43.6645012,13.3169003,-3169
43.6407013,13.4263,-3415
43.6027985,10.0482998,-3693
43.5774994,13.4743996,-3358
43.5713997,9.3312101,-3758
43.5280991,9.41043,-3845
43.5424995,10.1100998,-3759
43.5383987,14.6230001,-2861
43.5275002,14.7217999,-2916
43.4650002,10.1377001,-3753
43.4799995,14.5588999,-2884
43.4844017,14.8035002,-3239
43.4473,8.8929901,-3646
43.4449997,8.9939203,-3487
43.4118996,9.3035898,-3781
43.4519005,9.4311199,-3853
43.4141006,13.4960003,-3087
43.3787994,8.9288702,-3624
43.3820992,9.47435,-3737
43.3583984,14.9084997,-3092
43.3296013,9.1163597,-3777
43.3361015,9.2696505,-3789
43.3497009,9.5640402,-3562
43.2865982,9.1953497,-3740
43.2972984,9.98248,-3834
43.2612991,10.0709,-3869
43.2664986,13.5843,-3257
43.2593002,14.1693001,-2862
43.2681999,14.4995003,-2831
43.2780991,14.9383001,-2794
43.2430992,9.0426302,-3716
43.2153015,13.8971996,-3234
43.2098007,14.4358997,-2838
43.1781998,14.3337002,-3226
43.0978012,9.02775,-3557
43.1309013,10.1990995,-3886
43.1217995,13.9401999,-3312
43.1375008,14.0469999,-3395
43.1362991,14.9026003,-2781
43.0508003,13.5368004,-3350
43.0508003,13.5368004,-3350
42.9964981,8.02847,-3593
42.9863014,8.1266003,-3642
42.9706993,7.92345,-3542
42.9500008,8.2111998,-3731
42.9546013,8.9966698,-3613
42.9772987,13.5299997,-3268
42.902401,13.5584002,-3188
42.8373985,8.3512201,-3737
42.8445015,8.8646002,-3619
42.7668991,7.6775599,-3594
42.7728996,8.5792198,-3654
42.8055992,8.7772799,-3622
42.7596016,8.3937998,-3634
42.7280998,8.4870396,-3698
42.7602997,13.6597004,-3335
42.5819016,7.6725998,-3582
42.5298996,13.8834,-2290
42.4387016,7.6464801,-3584
42.4589005,13.9330997,-2639
42.3678017,7.6582198,-3565
42.3073006,7.7169299,-3506
42.233799,14.0197001,-2963
42.2218018,7.9018602,-3546
42.1437988,7.9526501,-3557
42.0264015,13.9499998,-3166
41.9581985,7.10075,-3690
41.9206009,7.0173602,-3617
41.9371986,7.29211,-3633
41.950901,7.7374802,-3565
41.8849983,7.3642602,-3622
41.8493996,7.4513202,-3682
41.8611984,7.54667,-3636
41.8087997,6.8856401,-3574
41.7080002,6.7321501,-3631
41.6445999,5.9372301,-3715
41.6489983,6.0344,-3763
41.5984993,5.7540798,-3651
41.6208992,6.12291,-3757
41.5788994,6.5911398,-3682
41.5149994,5.7067599,-3645
41.4882011,6.4207001,-3663
41.4604988,6.3203502,-3659
41.2923012,5.6771698,-3607
41.2369995,5.61413,-3610
39.9948997,2.2282901,-3725
39.9884987,2.4351001,-3846
39.8689995,2.58705,-3802
39.8184013,2.8624799,-3796
39.7821007,2.9416599,-3794
39.7747993,3.03231,-3810
39.7156982,3.1240499,-3754
39.7117996,3.2147901,-3683
38.7238007,-6.1665301,-3860
38.6755981,-6.4278202,-3912
38.7086983,-6.3432002,-3889
38.6227989,-6.48596,-3849
38.6377983,-5.9198899,-3773
38.6413002,-5.8311701,-3819
38.5377998,-6.4923701,-3850
38.4790001,-6.8538699,-3837
38.4916992,-6.6777401,-3853
38.426899,-6.9394898,-3815
38.4425011,-6.6142201,-3869
38.4350014,-6.3698702,-3495
38.3772011,-6.5671802,-3910
38.3497009,-6.4650998,-4042
38.3647003,-6.37853,-3788
38.1268997,-6.8977799,-3822
38.0070992,-6.61515,-3682
37.9855995,-4.2221198,-3732
37.9757996,-4.67804,-3757
37.8953018,-4.5130501,-3666
