Lat,Lon,Elevation_m
55.3064995,-68.6606979,-3765
55.3064995,-67.0139008,-3835
55.2617989,-71.0119019,-3616
55.1725006,-72.8068008,-3532
55.0833015,-64.7677994,-3878
54.9494019,-73.8787003,-3503
54.8600998,-63.1679993,-3981
54.7708015,-75.0225983,-4381
54.6369019,-61.0470009,-4012
54.4584007,-74.9862976,-3173
54.0565987,-58.8223,-3938
53.6548996,-74.0017014,-3418
53.3871002,-56.5460014,-4029
53.1638985,-73.0780029,-3471
52.4943008,-54.2915001,-4025
52.4051018,-71.0098038,-3500
52.0032997,-53.1138,-3971
51.7801018,-69.805603,-3550
51.2444992,-85.4610977,-1895
51.1999016,-84.8796005,-1782
51.155201,-86.4343033,-1488
51.0658989,-86.9777985,-1306
51.0658989,-68.7231979,-2789
50.9766998,-51.789299,-3988
50.9319992,-83.3275986,-2465
50.8428001,-87.4801025,-1125
50.6195984,-68.2798996,-2405
50.5303001,-81.7733002,-2244
50.351799,-87.9712982,-888
50.1731987,-68.2671967,-1945
50.1731987,-50.9133987,-3945
50.039299,-79.5440979,-2862
49.9947014,-88.2883987,-839
49.9500008,-68.7134018,-1750
49.7714996,-77.7212982,-3104
49.5037003,-88.1552963,-878
49.5037003,-75.7142029,-3219
49.4143982,-70.018898,-2147
49.3697014,-74.3423996,-3124
49.3250999,-73.5901031,-3092
49.3250999,-71.1931,-2828
49.1465988,-49.9869003,-3825
49.1018982,-114.0970001,-1102
49.0573006,-112.086998,-960
49.0126991,-115.2529984,-1214
49.0126991,-87.8951035,-591
48.9679985,-117.8700027,-1303
48.7448006,-110.1699982,-727
48.6556015,-118.7590027,-1242
48.5662994,-87.3864975,-474
48.4770012,-49.8624001,-3905
48.2985001,-118.7320023,-1071
48.2537994,-108.4380035,-476
48.0752983,-50.7411995,-3894
48.0306015,-51.6985016,-3675
47.8967018,-118.8059998,-846
47.8074989,-86.7003021,-783
47.6735001,-118.8939972,-739
47.6735001,-51.8077011,-3757
47.4504013,-106.7050018,47
47.271801,-119.6989975,-594
47.2271996,-120.9120026,-818
47.1379013,-87.5056,-905
47.0932999,-51.3060989,-3758
47.0040016,-122.1080017,-900
46.7807999,16.8481007,-3834
46.7807999,17.8258991,-3839
46.7361984,-122.6080017,-910
46.7361984,-87.5028992,-920
46.6469002,16.2212009,-3913
46.6469002,19.1471996,-3659
46.5130005,-105.3690033,583
46.2897987,14.8232002,-3915
46.2005005,-122.439003,-466
46.155899,-87.1556015,-984
46.0666008,19.5881996,-3853
45.8880997,-122.3889999,-286
45.8880997,-50.3098984,-3676
45.8880997,13.8818998,-3642
45.7094994,-104.0999985,1143
45.6649017,-88.623497,-958
45.6649017,-87.4738007,-961
45.4417,-89.1629028,-830
45.4417,13.1355,-3712
45.3970985,-122.3389969,-20
45.3078003,19.8955002,-3186
45.2631989,-50.1337013,-3539
45.1292,12.0510998,-3723
44.9506989,-50.8690987,-3394
44.9061012,-103.2649994,1608
44.8614006,-122.5810013,159
44.7720985,-89.4436035,-617
44.6828995,19.8680992,-3659
44.5042992,-51.1665001,-3253
44.4151001,38.1492996,-2699
44.3703995,11.0197001,-3593
44.3703995,38.8070984,-1067
44.2811012,-122.1119995,850
44.2364998,-89.3107986,-447
44.2364998,37.5973015,-3098
44.0579987,-101.9609985,1057
43.8793983,19.9698009,-3755
43.700901,-122.2200012,988
43.700901,-50.969799,-3369
43.700901,36.8274994,-2960
43.700901,39.2971992,-766
43.6562004,19.8953991,-3810
43.5670013,9.6394901,-3872
43.299099,-89.9459991,440
43.2545013,-50.3494987,-3656
43.299099,36.5833015,-1422
43.1651993,-122,1302
43.1206017,-100.3850021,522
43.075901,16.5282993,-3539
42.9866982,16.9923992,-3540
42.9420013,19.8460007,-3462
42.8527985,39.7883987,-1320
42.7635002,-122.8470001,1079
42.7635002,16.3838997,-3420
42.7187996,9.50669,-3372
42.5402985,-89.7537994,423
42.5402985,-49.6484985,-3633
42.4510002,17.6327991,-3523
42.4063988,19.3129997,-3738
42.4063988,16.5925999,-3307
42.3171005,0.0285735,-3896
42.3171005,3.2279999,-3788
42.2724991,-123.5149994,718
42.2724991,-99.5057983,635
42.2277985,18.4143009,-3719
42.1832008,-2.62199,-4048
42.0938988,5.9836898,-3808
42.0938988,9.5327702,-3169
42.0046997,-49.2883987,-3726
41.9599991,-3.9934101,-4063
42.0046997,6.8162599,-3830
41.9154015,35.9594994,-1884
41.8708,-89.4669037,1
41.8260994,-99.5279007,812
41.8260994,-5.1231699,-4137
41.8260994,17.1602001,-3526
41.7368011,-123.6159973,905
41.7368011,7.68503,-3435
41.7815018,41.0920982,-1154
41.5583,-6.0563302,-4224
41.4690018,-49.4748001,-3711
41.5136986,9.2679901,-3556
41.4244003,-99.0883026,1006
41.3350983,8.4102697,-3704
41.3350983,8.9453001,-3627
41.2905006,-6.6254702,-4304
41.2905006,36.2663994,-1969
41.2458,-89.3778,653
41.2458,-49.7210007,-3681
41.2011986,17.5291996,-2272
41.2458,29.2957993,-2530
41.2458,30.4831009,-1394
41.2011986,31.4115009,-1109
41.0672989,41.175499,-1186
40.9780006,-123.7200012,1000
40.9780006,-7.6582298,-4141
40.9333992,26.4979,-1996
40.8886986,27.6019001,-2056
40.844101,47.5861015,-2172
40.7994995,32.8126984,-812
