P89 M,P89 P,P93 M,P93 P,CP01 M,CP01 P,CH03 M,CH03 P,P07 M,P07 P,W04 M,W04 P,P10 M,P10 P,S21 M,S21 P
-2.915,-3.164013599,1.411,-0.598799447,-2.826,-3.168373882,0.47,-1.330535212,,,-3.506,-3.249164581,-3.274,-2.950389041,,
-2.326,-2.555114164,-0.591,-1.34588617,-2.849,-3.249214877,0.515,-1.285535212,,,-3.591,-3.334164581,-3.206,-2.89016884,,
-2.479,-2.697213705,0.786,-1.100198292,-2.947,-3.257599177,0.962,-1.226451495,,,-3.85,-3.594770917,-3.338,-3.02216884,,
-3.211,-3.398660739,-0.904,-1.886049029,-2.968,-3.30093708,0.594,-1.239319607,,,-3.992,-3.736770917,-3.279,-2.955389041,,
-3.246,-3.433660739,-0.92,-1.960968644,-2.957,-3.347348701,0.546,-1.122785546,,,-3.975,-3.719770917,-3.652,-3.317903403,,
-3.315,-3.472359766,-1.125,-1.663153995,-2.972,-3.342406055,1.241,-0.947451495,,,-3.811,-3.555538764,-3.427,-3.105990506,,
-3.193,-3.33095551,-0.961,-2.111183097,-3.014,-3.364190769,0.592,-1.241319607,,,-4.027,-3.770397322,-3.263,-2.939389041,,
-2.998,-3.13595551,1.238,-0.693367977,-3.063,-3.381252213,0.466,-1.202785546,,,-3.8,-3.543623026,-3.352,-3.030990506,,
-3.105,-3.213081916,-0.474,-1.272273989,-3.1,-3.408106187,0.591,-1.552844902,,,-3.852,-3.595623026,-3.324,-3.000389041,,
-3.339,-3.436533383,-0.984,-2.066660119,-2.14,-2.438521875,0.888,-0.966153936,,,-3.949,-3.692623026,-3.077,-2.753389041,,
-3.117,-3.203943949,-1.306,-1.801790848,-2.472,-2.770521875,0.783,-1.32904354,,,-4.011,-3.754850025,-3.393,-3.074583803,,
-2.71,-2.786314851,-0.783,-1.644389802,-3.142,-3.451134611,0.464,-1.16057288,,,-3.931,-3.674850025,-3.258,-2.94216884,,
-2.987,-3.052647336,-1.488,-1.969577975,-3.039,-3.358461198,0.769,-1.34304354,,,-3.597,-3.341307896,-3.033,-2.714583803,,
-3.392,-3.446942652,-1.899,-2.350942816,-3.022,-3.330566265,1.529,-0.325153936,,,-4.047,-3.790850025,-3.661,-3.326903403,,
-3.382,-3.426202051,-1.782,-2.218534341,-3.084,-3.370605054,0.46,-1.16457288,,,-4.04,-3.783397322,-3.314,-2.990389041,,
-3.293,-3.326426792,-2.465,-2.879969656,-3.25,-3.514423929,0.75,-1.330136139,,,-3.635,-3.379078315,-3.095,-2.780561939,,
-3.421,-3.425508071,-2.227,-2.615835307,-2.902,-3.123929735,1.728,-0.146522739,,,-3.9,-3.643397322,-3.434,-3.119561939,,
-3.186,-3.179805039,-2.862,-3.215923802,-2.364,-2.552381856,0.306,-1.274359674,,,-3.795,-3.539307896,-3.169,-2.85715727,,
-2.881,-2.864071584,-3.104,-3.398852355,-3.029,-3.197716115,0.779,-1.288336213,,,-3.9,-3.644522224,-3.648,-3.317815328,,
-2.832,-2.804308962,-3.219,-3.448144241,-2.746,-2.853712788,1.34,-0.534522739,,,-3.7,-3.445456245,-3.348,-3.028345955,,
-2.857,-2.801000079,-4.381,-4.119917275,-2.962,-3.028765265,0.328,-1.252359674,,,-4.088,-3.833692966,-3.415,-3.10315727,,
-3.305,-3.249000079,-3.173,-2.945821469,-3.406,-3.461878287,0.773,-1.262431486,,,-3.939,-3.683522224,-3.631,-3.300815328,,
-3.473,-3.388982861,-3.124,-3.317377587,-3.433,-3.448437921,0.795,-1.099419068,,,-3.916,-3.660522224,-3.028,-2.708345955,,
-3.346,-3.251418903,-3.418,-3.227106543,-2.626,-2.715887864,0.282,-1.254156659,,,-3.793,-3.538930968,-3.358,-3.04615727,,
-3.141,-3.029260977,-3.503,-3.198229424,-2.864,-2.942474445,0.831,-1.191547027,,,-3.667,-3.412456245,-2.853,-2.54115727,,
-3.269,-3.157260977,-3.092,-3.249290866,-2.443,-2.577217129,0.682,-1.212419068,,,-4.03,-3.774522224,-3.039,-2.729744041,,
-3.521,-3.381837958,-3.467,-3.279308948,-2.285,-2.344950583,1.008,-0.982651142,,,-3.942,-3.687456245,-3.257,-2.956890325,,
-3.538,-3.381909472,-3.532,-3.171607129,-2.589,-2.741846754,0.739,-1.174836122,,,-3.637,-3.382930968,-3.344,-3.041311528,,
-3.575,-3.408717191,-2.828,-2.861961072,-2.049,-2.164610207,0.297,-1.227730065,,,-3.953,-3.697291947,-3.344,-3.041311528,,
-3.455,-3.271975551,-3.616,-3.174170658,-2.778,-2.875028482,0.767,-1.146836122,,,-4.073,-3.818415159,-3.631,-3.304710535,,
-3.571,-3.377901918,-3.498,-3.288924313,-2.864,-2.923950583,-0.766,-1.699802513,,,-3.977,-3.722180245,-3.212,-2.906723788,,
-3.478,-3.274809847,-2.147,-2.130548449,-2.246,-2.33143975,1.309,-0.668687029,,,-4.002,-3.747180245,-3.166,-2.850285127,,
-3.494,-3.290809847,-3.55,-3.325598047,-2.566,-2.706832924,-0.787,-1.720802513,,,-4.06,-3.805415159,-3.065,-2.762311528,,
-3.55,-3.320424661,-2.352,-2.278002892,-2.075,-2.142026951,-0.79,-1.691133063,,,-3.977,-3.722415159,-3.188,-2.887890325,,
-3.053,-2.813438285,-2.789,-2.564418252,-2.283,-2.350026951,-0.749,-1.650133063,,,-4.032,-3.777180245,-3.292,-2.989311528,,
-3.051,-2.785490121,-1.75,-1.619235275,-2.573,-2.603293566,0.817,-1.128806141,,,-3.98,-3.725651367,-3.257,-2.951723788,,
-2.972,-2.706490121,-3.765,-3.233288446,-2.532,-2.672832924,-0.729,-1.597508796,,,-4.073,-3.818651367,-2.991,-2.675285127,,
-3.07,-2.794614721,-2.409,-2.209779328,-3.494,-3.469460927,0.865,-1.080806141,,,-3.953,-3.699851712,-2.898,-2.597890325,,
-2.881,-2.595727264,-1.945,-1.783035948,-2.463,-2.54843975,-0.8,-1.766512902,,,-3.82,-3.567340806,-3.003,-2.687285127,,
-3.109,-2.736991186,-3.835,-3.248638918,-2.579,-2.652817827,0.146,-1.345974509,,,-3.978,-3.722946626,-3.648,-3.321710535,,
-3.416,-3.043991186,-3.878,-3.22442651,-1.42,-1.512116139,-0.74,-1.575933954,,,-3.957,-3.703851712,-3.335,-3.034890325,,
-2.867,-2.556350718,-3.982,-3.277586137,-1.299,-1.391116139,-0.797,-1.763512902,,,-3.69,-3.437340806,-3.043,-2.724653988,,
-2.824,-2.457889643,-4.012,-3.245736782,-1.271,-1.381439196,-0.749,-1.575711105,,,-3.936,-3.682851712,-3.593,-3.266710535,,
-3.538,-3.141719411,-3.939,-3.112176346,-3.1,-3.100921118,-0.023,-1.50349797,,,-3.913,-3.657946626,-3.26,-2.945564762,,
-2.83,-2.509581826,-4.029,-3.149460556,-3.444,-3.40868491,-0.802,-1.59630166,,,-3.949,-3.695851712,-3.615,-3.29258878,,
-2.679,-2.328064177,-1.907,-2.024644785,-2.319,-2.374546719,-0.728,-1.684841481,,,-3.585,-3.332340806,-3.361,-3.046564762,,
-2.84,-2.504295592,-1.913,-1.989384491,-3.151,-3.122837402,-0.9,-1.69430166,,,-3.829,-3.573946626,-3.654,-3.33158878,,
-2.471,-2.120064177,-1.948,-2.039137605,-3.161,-3.132837402,-0.027,-1.474823837,,,-3.897,-3.643851712,-2.289,-1.995448303,,
-3.237,-2.825727786,-2.056,-2.156422034,-2.484,-2.509935505,-0.993,-1.745825598,,,-3.782,-3.53051548,-2.29,-1.996448303,,
-3.347,-2.926775862,-1.953,-2.078573265,-2.9,-2.896610358,-0.726,-1.673035859,,,-3.888,-3.63651548,-3.285,-2.986281633,,
-3.422,-2.983854064,-3.407,-3.437298245,-3,-2.996610358,-1.112,-1.832648669,,,-3.874,-3.62251548,-3.321,-3.022281633,,
-3.56,-3.098502921,-3.309,-3.286728651,-2.643,-2.592861737,0.811,-0.625301938,,,-3.911,-3.6573011,-2.639,-2.348017704,,
-3.633,-3.162668082,-3.442,-3.419728651,-2.481,-2.41318652,-1.204,-1.924648669,,,-3.885,-3.6313011,-3.312,-3.013281633,,
-3.62,-3.140831207,-2.01,-2.096976629,-3.422,-3.35418652,-1.248,-1.927518314,,,-3.892,-3.6383011,-3.166,-2.877577709,,
-3.61,-3.121993332,-3.196,-3.138001373,-3.429,-3.315358138,-0.516,-1.453097164,,,-3.882,-3.629671968,-2.568,-2.277017704,,
-3.581,-3.097993969,-3.509,-3.432890621,-3.523,-3.391953179,0.197,-1.227623291,,,-3.901,-3.648920222,-3.615,-3.289913337,,
-3.586,-3.094020831,-4.025,-3.097928803,-3.55,-3.391251357,-1.309,-1.956591338,,,-3.912,-3.659920222,-3.174,-2.885577709,,
-3.558,-3.057049772,-3.225,-3.119322137,-3.572,-3.38585877,0.754,-0.63815249,,,-3.918,-3.665920222,-3.401,-3.086564762,,
-3.63,-3.120081839,-2.217,-2.260213635,-3.593,-3.379778636,-0.396,-1.776435934,,,-3.913,-3.660920222,-3.346,-3.031564762,,
-3.823,-3.282003045,-2.835,-2.710444505,-3.606,-3.382655521,-0.723,-1.650026539,,,-3.897,-3.64657144,-2.902,-2.611017704,,
-3.877,-3.327187132,-3.431,-3.27077507,-3.619,-3.37901403,-0.469,-1.817060077,,,-3.891,-3.64057144,-3.128,-2.839577709,,
-3.91,-3.351378482,-2.313,-2.337493387,-3.586,-3.31956788,-1.488,-2.12656801,,,-3.892,-3.64157144,-2.963,-2.678562695,,
-3.943,-3.375578121,-3.136,-2.940359773,-3.619,-3.35256788,-0.545,-1.881310134,,,-3.851,-3.601611796,-3.395,-3.100232248,,
-3.866,-3.289787074,-2.319,-2.295255702,-3.322,-3.039178074,-0.75,-1.698994115,,,-3.872,-3.621829632,-3.604,-3.285449827,,
-3.784,-3.211481744,-3.162,-2.924602751,-3.584,-3.291442969,-1.663,-2.260806794,,,-3.885,-3.635611796,-3.174,-2.879232248,,
-3.574,-2.992576441,-3.971,-3.004261426,-3.505,-3.186641931,-0.632,-1.936035075,,,-3.885,-3.635611796,-3.792,-3.473449827,,
-3.591,-3.000683644,-3.283,-2.955220057,-3.599,-3.280641931,-0.533,-1.825256236,,,-3.893,-3.643349814,-3.857,-3.538449827,,
-3.452,-2.852804383,-3.268,-2.940220057,-3.286,-2.951650073,-0.689,-1.62754285,,,-3.835,-3.585349814,-3.872,-3.553449827,,
-3.304,-2.70792401,-3.25,-2.915596921,-3.315,-2.971167255,-1.777,-2.365668881,,,-3.895,-3.645349814,-3.884,-3.568127747,,
-3.533,-2.927938955,-3.41,-3.041715757,-3.358,-2.989021285,-1.781,-2.369668881,,,-3.907,-3.656829632,-2.862,-2.564626035,,
-3.632,-3.017970705,-2.413,-2.292000881,-3.647,-3.262432644,-0.591,-1.851087781,,,-3.73,-3.480611796,-3.911,-3.595127747,,
-3.822,-3.199020297,-3.369,-2.960477136,-3.234,-2.840206217,-1.789,-2.36841762,,,-3.921,-3.672521369,-3.292,-3.001163156,,
-3.677,-3.045088764,-2.486,-2.315039527,-3.223,-2.804724102,-0.77,-1.98622841,,,-3.941,-3.691988893,-3.131,-2.824332199,,
-3.822,-3.181177136,-3.757,-2.891377327,-3.19,-2.771724102,-0.929,-2.14522841,,,-3.852,-3.604058857,-3.457,-3.142293447,,
-3.812,-3.16228644,-3.988,-3.014358958,-3.097,-2.678724102,-1.039,-2.223166519,,,-3.969,-3.720521369,-3.467,-3.152293447,,
-3.879,-3.220417699,-3.675,-2.781050604,-3.719,-3.261601521,-0.667,-1.594961657,,,-3.846,-3.598058857,-3.226,-2.935163156,,
-3.888,-3.209669156,-3.122,-2.654268691,-3.028,-2.585576846,-1.015,-2.167102985,,,-3.874,-3.624988893,-3.099,-2.789661532,,
-3.897,-3.209981413,-3.253,-2.764972546,-3.715,-3.257601521,-0.985,-2.137102985,,,-3.959,-3.710521369,-3.429,-3.114293447,,
-3.876,-3.180318363,-2.426,-2.206398375,-3.682,-3.200997272,-0.909,-2.029041965,,,-3.802,-3.554058857,-3.44,-3.125293447,,
-3.913,-3.208681,-3.758,-2.884861516,-3.746,-3.256293812,-0.744,-1.831987619,,,-3.906,-3.656988893,-3.268,-2.958661532,,
-3.967,-3.254070311,-3.391,-2.870650114,-3.761,-3.271293812,-0.727,-1.814987619,,,-4.001,-3.752521369,-3.245,-2.935661532,,
-3.971,-3.259723107,-3.374,-2.839879857,-3.7,-3.216081339,-1.773,-2.35241762,,,-3.94,-3.692694819,-3.543,-3.236332199,,
-4.009,-3.280379616,-3.48,-2.907114181,-3.749,-3.265081339,-0.722,-1.766739943,,,-3.942,-3.694694819,-3.285,-2.972981916,,
-4.033,-3.295753845,-3.256,-2.450135285,-3.714,-3.221233854,-0.847,-1.859835126,,,-3.927,-3.679694819,-2.838,-2.547163156,,
-4.036,-3.290160032,-2.34,-2.096730309,-3.748,-3.246384389,-0.875,-1.887835126,,,-3.851,-3.604521477,-2.831,-2.537548086,,
-4.016,-3.261599149,-3.501,-2.914110435,-3.757,-3.246533981,-0.715,-1.632251753,,,-3.932,-3.684421752,-3.513,-3.210188417,,
-4.01,-3.247072166,-2.452,-2.18470012,-3.726,-3.206683668,-0.815,-1.79594939,,,-3.906,-3.658421752,-2.889,-2.59945047,,
-4.007,-3.235580047,-3.369,-2.580690819,-3.666,-3.160694572,-0.78,-1.76094939,,,-3.783,-3.536244687,-2.851,-2.56145047,,
-4.011,-3.240350588,-3.946,-2.955673752,-3.594,-3.07970732,-0.729,-1.678086884,,,-3.886,-3.639244687,-2.882,-2.59245047,,
-3.999,-3.219801609,-3.396,-2.569050167,-3.471,-2.961518933,-1.976,-2.546054086,,,-3.861,-3.613969132,-3.481,-3.178188417,,
-3.999,-3.211290847,-2.544,-2.277261504,-3.57,-3.051398282,-2.095,-2.655579368,,,-3.962,-3.716432011,-2.861,-2.568817103,,
-4,-3.21269464,-3.891,-2.95146537,-3.699,-3.166740293,-2.15,-2.700994569,,,-3.899,-3.653432011,-3.577,-3.263411678,,
-3.978,-3.182134716,-3.452,-2.816903833,-3.705,-3.163762619,-2.37,-2.901499199,,,-3.849,-3.603715034,-3.589,-3.275411678,,
-3.968,-3.180915232,-3.658,-2.849605614,-3.852,-3.315170786,-2.415,-2.936590896,,,-3.918,-3.672432011,-3.489,-3.186188417,,
-2.036,-2.120054579,-3.676,-2.792969113,-3.866,-3.320066068,-2.526,-3.03757705,,,-3.963,-3.717432011,-2.916,-2.623817103,,
-2.016,-2.100054579,-3.605,-2.868402611,-3.903,-3.325915315,-2.559,-3.07057705,,,-3.87,-3.624715034,-3.567,-3.257209521,,
-3.958,-3.162268488,-3.54,-2.659357068,-3.892,-3.305974563,-2.571,-3.072458826,,,-3.986,-3.740432011,-3.523,-3.221335863,,
-2.029,-2.117077415,-3.642,-2.912356468,-3.871,-3.284974563,-2.592,-3.053072024,,,-3.955,-3.709715034,-3.239,-2.953332981,,
-1.942,-2.030077415,-3.528,-2.852752297,-3.93,-3.335044326,-2.625,-3.075882246,,,-3.84,-3.594715034,-3.24,-2.954332981,,
-2.057,-2.126322089,-3.825,-2.823239893,-3.958,-3.34163247,-2.082,-2.522592999,,,-3.803,-3.559200158,-3.562,-3.252209521,,
-2.024,-2.097071038,-3.621,-2.862301425,-3.965,-3.339863895,-2.433,-2.892965902,,,-3.826,-3.581332241,-3.461,-3.159335863,,
-2.024,-2.100722097,-3.905,-2.924916902,-3.91,-3.267368204,-2.672,-3.121343709,,,-3.827,-3.583200158,-2.781,-2.497965011,,
-2.004,-2.084274743,-2.677,-2.311756758,-3.853,-3.213587132,-2.102,-2.540624391,,,-3.868,-3.623332241,-3.092,-2.806332981,,
-1.982,-2.062274743,-3.614,-2.88923935,-3.914,-3.256914029,-2.739,-3.166809198,,,-3.752,-3.507332241,-3.011,-2.727965011,,
-1.964,-2.051082773,-3.593,-2.888195243,-3.93,-3.252571021,-2.769,-3.185899392,,,-3.71,-3.466200158,-2.794,-2.508332981,,
-1.978,-2.061728466,-3.681,-2.893782647,-3.943,-3.250800992,-2.789,-3.224027485,,,-3.899,-3.655809143,-3.534,-3.224209521,,
-3.903,-3.098664849,-2.649,-2.259498898,-3.885,-3.203977437,-2.812,-3.235788008,,,-3.704,-3.460809143,-3.669,-3.367335863,,
-1.941,-2.028082773,-3.633,-2.804611714,-3.869,-3.181234082,-2.807,-3.219456552,,,-3.606,-3.363699687,-3.168,-2.872844793,,
-1.917,-2.007337182,-3.711,-2.90250131,-3.89,-3.204148904,-2.786,-3.227365238,,,-3.876,-3.632809143,-3.406,-3.110844793,,
-1.975,-2.068491229,-3.726,-2.89734849,-3.865,-3.170092521,-2.831,-3.260796094,,,-3.754,-3.510809143,-3.517,-3.21098954,,
-1.89,-1.963399466,-2.75,-2.312528967,-3.897,-3.193063953,-2.851,-3.269136436,,,-3.619,-3.376699687,-3.544,-3.23798954,,
-1.944,-2.017399466,-2.751,-2.313193013,-3.907,-3.195454375,-2.893,-3.32791412,,,-3.804,-3.560809143,-3.536,-3.233751534,,
-2.006,-2.082284819,-2.79,-2.280394046,-3.915,-3.185338083,-2.897,-3.33191412,,,-3.829,-3.585809143,-3.434,-3.134489309,,
-3.979,-3.174533015,-2.826,-2.269072013,-3.941,-3.202329434,-2.886,-3.337360663,,,-3.522,-3.279699687,-3.463,-3.163489309,,
-2.034,-2.113069804,-2.699,-2.096279689,-3.922,-3.166104766,-3.003,-3.442133304,,,-3.739,-3.496104788,-3.851,-3.551489309,,
-1.941,-2.020069804,-2.835,-2.165713387,-3.933,-3.186731214,-2.988,-3.414818679,,,-3.687,-3.445603229,-3.811,-3.515242597,,
-2.127,-2.208754021,-3.679,-2.945238274,-3.931,-3.175599106,-3.005,-3.419418222,,,-3.847,-3.604997967,-3.542,-3.246242597,,
-2.138,-2.199056434,-2.782,-2.004795511,-3.907,-3.142506373,-3.008,-3.437804801,,,-3.417,-3.176213248,-3.501,-3.205242597,,
-2.195,-2.256056434,-2.719,-1.900506737,-3.932,-3.158454035,-3.017,-3.446804801,,,-3.765,-3.523603229,-3.552,-3.259977229,,
-2.208,-2.271477116,-2.791,-1.932211753,-3.93,-3.147443105,-3.027,-3.471843833,,,-3.713,-3.471907647,-3.537,-3.252389811,,
-2.202,-2.265477116,-2.817,-1.900417628,-3.962,-3.17047459,-2.945,-3.376878053,,,-3.788,-3.546907647,-3.487,-3.202389811,,
-4.018,-3.204891248,-2.844,-1.856048308,-3.952,-3.151549489,-2.941,-3.372878053,,,-3.675,-3.433907647,-3.482,-3.197389811,,
-3.996,-3.182498587,-2.54,-1.437818416,-2.036,-2.133460359,-2.81,-3.256321473,,,-3.807,-3.564997967,-3.518,-3.233389811,,
-3.972,-3.158498587,-3.994,-2.861719704,-2.014,-2.111460359,-3.003,-3.422663017,,,-3.947,-3.705603229,-3.503,-3.22206742,,
-3.979,-3.164927441,-2.923,-1.748946138,-2.009,-2.110250936,-2.178,-2.597663017,,,-3.846,-3.604603229,-3.785,-3.507725693,,
-3.972,-3.149176068,-3.822,-2.608638894,-1.99,-2.052580542,-2.511,-2.917215273,,,-3.778,-3.5363,-3.801,-3.523725693,,
-3.981,-3.166178081,-3.906,-2.643736252,-2.074,-2.144502597,-3.011,-3.430573384,,,-3.819,-3.577603229,-3.714,-3.436725693,,
-3.965,-3.141351311,-3.804,-2.519465748,-2.066,-2.132590794,-3.143,-3.548808367,,,-3.818,-3.575997967,-3.533,-3.259364476,,
-3.941,-3.133172914,-3.73,-2.403239616,-3.934,-3.124668795,-2.84,-3.231968642,,,-3.915,-3.6733,-3.433,-3.159364476,,
-3.98,-3.164250898,-2.959,-1.604546674,-2.113,-2.171472414,-2.927,-3.305055824,,,-3.852,-3.609997967,-3.63,-3.368576864,,
-4,-3.200116155,-3.116,-1.735426957,-2.032,-2.090461061,-3.213,-3.536968928,,,-3.837,-3.595907647,-3.64,-3.378576864,,
-3.993,-3.177250898,-3.77,-2.366447663,-3.967,-3.148833493,-2.939,-3.262968928,,,-3.88,-3.639494792,-3.527,-3.265576864,,
-3.767,-2.957963056,-3.579,-2.154160143,-2.065,-2.133475901,-3.226,-3.510176214,,,-3.603,-3.363427296,-3.53,-3.272082288,,
-2.096,-2.062805579,-3.141,-1.702930191,-2.069,-2.127461061,-2.651,-2.935176214,,,-3.845,-3.60418632,-3.541,-3.283082288,,
-3.909,-3.098575253,-2.551,-1.084251625,-2.09,-2.128765265,-2.947,-3.191700163,,,-3.901,-3.66080445,-3.555,-3.300567779,,
-2.245,-2.188673759,-2.766,-1.289501548,-2.086,-2.131198216,-3.305,-3.535959224,,,-3.894,-3.65380445,-3.538,-3.280693597,,
-2.221,-2.164673759,-2.805,-1.324705213,-3.975,-3.148044563,-3.394,-3.611157489,,,-3.365,-3.125427296,-3.516,-3.258693597,,
-2.08,-2.02451759,-3.373,-1.889521534,-2.15,-2.206867034,-3.313,-3.491227782,,,-3.824,-3.58318632,-3.52,-3.266152393,,
-3.955,-3.144575253,-3.642,-2.159288501,-2.152,-2.211532375,-3.09,-3.268227782,,,-3.809,-3.56818632,-3.49,-3.250609782,,
-2.106,-2.028205023,-3.586,-2.096646407,-2.322,-2.393328921,-3.319,-3.483481995,,,-3.811,-3.57080445,-3.468,-3.228609782,,
-3.319,-2.9707351,-2.888,-1.389814005,-2.129,-2.177265713,-3.348,-3.47400554,,,-3.409,-3.169427296,-3.478,-3.238609782,,
-3.347,-2.99234546,-2.375,-0.872663115,-2.219,-2.281096183,-3.203,-3.315324815,,,-3.824,-3.58468869,-3.471,-3.231609782,,
-2.219,-2.141205023,-3.471,-1.966585588,-2.104,-2.155233297,-2.922,-3.020592849,,,-3.786,-3.547322131,-3.398,-3.161916347,,
-3.298,-2.956070838,-2.84,-1.331128406,-2.014,-2.083174789,-3.3,-3.360708647,,,-3.366,-3.127960217,-3.547,-3.31420284,,
-2.187,-2.109821313,-2.713,-1.202148962,-3.981,-3.153645216,-3.422,-3.482708647,,,-3.888,-3.648373729,-3.534,-3.30120284,,
-3.364,-3.00934546,-2.792,-1.280028796,-2.317,-2.366537277,-3.458,-3.481179558,,,-3.898,-3.65868869,-3.446,-3.216469197,,
-2.241,-2.164343489,-2.932,-1.420978967,-2.232,-2.272947457,-3.452,-3.461655428,,,-3.914,-3.67468869,-3.676,-3.453456876,,
-3.326,-2.984070838,-2.861,-1.349870153,-2.309,-2.360430114,-3.461,-3.433619373,,,-3.842,-3.603322131,-3.649,-3.426456876,,
-3.941,-3.121408097,-3.118,-1.612329304,-3.984,-3.147823331,-3.465,-3.437619373,,,-3.236,-2.997960217,-3.675,-3.452456876,,
-2.325,-2.225363376,-3.061,-1.556748726,-2.381,-2.408666733,-3.509,-3.468186325,,,-3.672,-3.43268869,-3.63,-3.410588121,,
-3.373,-2.995007006,-3.133,-1.632205248,-2.416,-2.445404508,-3.51,-3.43265547,,,-3.106,-2.867960217,-3.651,-3.431588121,,
-3.101,-2.741829826,-2.908,-1.411249551,-2.416,-2.423311225,-3.514,-3.423321718,,,-3.705,-3.466322131,-3.63,-3.410588121,,
-2.381,-2.281757837,-3.439,-1.946860199,-2.41,-2.418796851,-3.491,-3.386951913,,,-3.871,-3.633527711,-3.625,-3.411737162,,
-3.408,-3.030007006,-3.356,-1.866818803,-3.961,-3.116051348,-3.544,-3.417307673,,,-3.898,-3.660527711,-3.213,-3.011952499,,
-2.269,-2.169757837,-5.034,-3.546686393,-2.03,-2.040182138,-3.132,-2.992081189,,,-3.918,-3.680527711,-3.298,-3.096952499,,
-3.995,-3.16629888,-3.082,-1.593731347,-3.96,-3.12316394,-3.504,-3.350822291,,,-3.693,-3.456506041,-3.003,-2.805015166,,
-3.382,-3.005697387,-3.485,-1.998002754,-2.04,-2.027735069,-3.525,-3.349595,,,-3.49,-3.25220389,,,,
-3.425,-3.023954755,-3.81,-2.325273029,-3.989,-3.143315058,-3.548,-3.33749779,,,-3.923,-3.68520389,,,,
-2.54,-2.417900568,-3.701,-2.215647877,-2.131,-2.120914378,-3.558,-3.334535658,,,-3.859,-3.622178794,,,,
-3.373,-3.002751578,-3.869,-2.389743391,-3.891,-3.07615546,-3.574,-3.350535658,,,-3.762,-3.525178794,,,,
-3.435,-3.033954755,-3.85,-2.37815705,-3.949,-3.142143977,-3.589,-3.330982894,,,-3.804,-3.56620389,,,,
-2.267,-2.14517055,-3.849,-2.394050374,-2.176,-2.142240301,-3.584,-3.304487164,,,-3.489,-3.252178794,,,,
-3.952,-3.114248584,-3.678,-2.23305442,-3.99,-3.143401212,-3.603,-3.310829213,,,-3.862,-3.62420389,,,,
-2.257,-2.112441152,-4.058,-2.611915069,-3.944,-3.145150045,-3.591,-3.277581714,,,-3.705,-3.46720389,,,,
-3.441,-3.053617376,-3.838,-2.393514995,-3.924,-3.099774275,-3.549,-3.22307842,,,-3.911,-3.67320389,,,,
-3.365,-2.947388099,-3.174,-1.735590509,-2.192,-2.134714562,-3.6,-3.253081172,,,-3.85,-3.613178794,,,,
-3.385,-3.003505622,-3.654,-2.219820922,-3.992,-3.144310321,-3.622,-3.262734135,,,-3.756,-3.519731567,,,,
-2.247,-2.102589907,-4.132,-2.689123817,-2.328,-2.269759556,-3.613,-3.232989056,,,-3.695,-3.459729514,,,,
-3.953,-3.106258182,-3.099,-1.661176219,-3.923,-3.090932945,-3.589,-3.196799789,,,-3.938,-3.701731567,,,,
-3.41,-3.028505622,-3.043,-1.612219081,-3.987,-3.138043012,-3.623,-3.210308699,,,-3.412,-3.176729514,,,,
-3.418,-2.977848139,-3.435,-2.006157439,-3.937,-3.126695477,-3.628,-3.20327863,,,-3.835,-3.598731567,,,,
-2.162,-1.994993383,-3.962,-2.522916494,-2.35,-2.268426572,-3.642,-3.185173719,,,-3.421,-3.185729514,,,,
-3.427,-3.034097315,-3.14,-1.71596594,-2.353,-2.271426572,-3.667,-3.178487932,,,-3.424,-3.190292394,,,,
-2.075,-1.90802418,-3.797,-2.366258627,-3.952,-3.110737388,-3.623,-3.134487932,,,-3.492,-3.258292394,,,,
-3.38,-2.939848139,-3.962,-2.534627927,-3.985,-3.136043012,-3.595,-3.106487932,,,-3.482,-3.248292394,,,,
-3.349,-2.956097315,-4.079,-2.649857129,-3.943,-3.132695477,-3.456,-2.955767694,,,-3.377,-3.144867073,,,,
-4.01,-3.154328636,-4.214,-2.788807751,-2.355,-2.274339894,-3.287,-2.755668308,,,-3.179,-2.947217271,,,,
-2.549,-2.38202418,-4.091,-2.679864232,-4.009,-3.158600033,-3.319,-2.776103118,,,-3.264,-3.032217271,,,,
-2.699,-2.509481625,-4.123,-2.727303394,-3.971,-3.120600033,-3.377,-2.803596292,,,-3.773,-3.540867073,,,,
-3.521,-3.064615369,-4.149,-2.768623889,-3.926,-3.10604814,-3.513,-2.928191646,,,-3.819,-3.586867073,,,,
-3.404,-2.999532099,-3.968,-2.605241096,-2.312,-2.208897173,-3.669,-3.061367767,,,-3.709,-3.478096373,,,,
-2.459,-2.269481625,-4.215,-2.869591589,-3.878,-3.050411893,-3.648,-3.028951212,,,-3.723,-3.492096373,,,,
-4.022,-3.157460899,-4.128,-2.794794952,-2.363,-2.260581232,-3.647,-3.016533365,,,-3.726,-3.495096373,,,,
-3.413,-2.950599675,-3.988,-2.67178946,-3.9,-3.062953952,-3.606,-2.964115565,,,-3.77,-3.540685875,,,,
-2.006,-1.793970485,-4.176,-2.87697161,-3.949,-3.104459999,-3.549,-2.89569915,,,-3.789,-3.560050381,,,,
-3.404,-2.982417276,-4.093,-2.812625386,-2.347,-2.222453709,-3.577,-2.912285454,,,-3.762,-3.533050381,,,,
-3.381,-2.902592357,-4.054,-2.770916807,-3.968,-3.123459999,-3.645,-2.957471566,,,-3.779,-3.551658291,,,,
