P89 M,P89 P,P93 M,P93 P,CP01 M,CP01 P,CH03 M,CH03 P,P07 M,P07 P,W04 M,W04 P,P10 M,P10 P,S21 M,S21 P
-0.983,0.335016001,-3.026,-1.733977257,-1.823,-0.458552896,-3.855,-3.696224414,-3.298,-1.694257025,-3.72,-3.4273498,-3.834,-3.140036387,-3.641,-3.269009614
-1.144,0.177441062,-3.044,-1.749162706,-2.043,-0.676760506,-3.872,-3.650299085,-3.792,-2.203311136,-3.617,-3.324844914,-3.891,-3.196222745,-3.612,-3.244398005
-0.976,0.346280823,-2.003,-0.702586407,-1.731,-0.36272981,-3.871,-3.644615657,-3.737,-2.168001325,-3.624,-3.331844914,-3.961,-3.269498105,-3.628,-3.260398005
-1.37,-0.04451435,-2.163,-0.907852597,-1.892,-0.522781946,-3.871,-3.644615657,-4.096,-2.53971165,-3.609,-3.316844914,-3.752,-3.0622254,-3.57,-3.202398005
-1.891,-0.56551435,-1.598,-0.368619791,-1.579,-0.208256044,-3.852,-3.693224414,-3.508,-1.950262983,-3.564,-3.272279948,-3.953,-3.262390283,-3.584,-3.220767287
-1.969,-0.640494394,-0.916,0.290169641,-1.79,-0.418051011,-3.871,-3.639827101,-3.732,-2.181318004,-3.522,-3.230279948,-3.903,-3.215751295,-3.618,-3.254767287
-2.171,-0.842494394,-1.392,-0.182162503,-1.953,-0.580384344,-3.87,-3.638827101,-3.561,-2.024497131,-3.501,-3.209279948,-3.569,-2.8792254,-3.553,-3.189767287
-2.258,-0.926661304,-1.997,-0.779801508,-1.689,-0.317113289,-3.849,-3.69291283,-3.957,-2.445239767,-3.533,-3.241754373,-3.916,-3.225390283,-3.582,-3.223117193
-2.192,-0.860661304,-1.303,-0.095486023,-1.994,-0.621612393,-3.846,-3.68991283,-3.989,-2.486192178,-3.146,-2.854754373,-3.847,-3.159751295,-3.614,-3.255117193
-2.206,-0.874661304,-2.18,-0.986132063,-1.569,-0.196503796,-3.849,-3.724550077,-3.837,-2.352365468,-3.668,-3.376615676,-3.33,-2.6402254,-3.5,-3.142408736
-2.237,-0.903017041,-1.996,-0.834306552,-2.036,-0.662687604,-3.87,-3.660982084,-3.819,-2.360306719,-3.668,-3.376615676,-3.892,-3.201390283,-3.52,-3.162408736
-2.234,-0.900017041,-2.032,-0.908176226,-1.422,-0.049104793,-3.85,-3.725550077,-3.861,-2.430774427,-3.4,-3.108754373,-3.824,-3.135905924,-3.549,-3.19570728
-2.192,-0.855563537,-2.343,-1.238780573,-1.848,-0.474578064,-3.85,-3.728080107,-3.774,-2.370661305,-3.655,-3.364115505,-3.476,-2.790453995,-3.55,-3.19670728
-2.184,-0.847563537,-1.582,-0.518312619,-1.756,-0.382687604,-3.871,-3.656876173,-3.594,-2.220228081,-3.759,-3.468115505,-3.88,-3.193597322,-3.556,-3.20270728
-2.079,-0.740899821,-0.938,0.088055258,-1.869,-0.495817178,-3.849,-3.727080107,-3.726,-2.369778149,-3.308,-3.017267779,-3.504,-2.819314059,-3.546,-3.19270728
-2.067,-0.728899821,-0.812,0.175020529,-2.293,-0.919521203,-3.868,-3.653876173,-3.745,-2.39881956,-3.706,-3.415115505,-3.773,-3.089177496,-3.544,-3.194985979
-2.206,-0.865789979,-0.671,0.293533988,-1.988,-0.614534785,-3.851,-3.731492194,-3.634,-2.29791374,-3.577,-3.286115505,-3.706,-3.022177496,-3.55,-3.200985979
-2.207,-0.866789979,-0.935,-0.021698201,-1.863,-0.489562426,-3.866,-3.64666588,-3.787,-2.483581397,-3.706,-3.415267779,-3.787,-3.102314059,-3.535,-3.185985979
-2.248,-0.9058756,-0.38,0.509510455,-2.167,-0.793980665,-3.853,-3.733492194,-3.688,-2.41975027,-3.938,-3.646923827,-3.328,-2.643314059,-3.53,-3.180985979
-1.977,-0.633158475,-0.146,0.699906781,-2.298,-0.925919757,-3.851,-3.733785982,-3.695,-2.436995801,-3.667,-3.376165435,-3.561,-2.877177496,-3.531,-3.181985979
-1.72,-0.376158475,0.31,1.120449444,-1.983,-0.610784176,-3.869,-3.64966588,-3.605,-2.374837545,-3.914,-3.62297056,-3.648,-2.963314059,-3.538,-3.193244599
-1.889,-0.543640363,0.365,1.170543975,-2.314,-0.942068432,-3.857,-3.771495648,-3.3,-2.087331079,-3.579,-3.288267779,-3.877,-3.190597322,-3.525,-3.180244599
-1.967,-0.621640363,-0.151,0.669384322,-2.414,-1.042230004,-3.853,-3.765251955,-3.564,-2.389412865,-3.899,-3.607923827,-3.758,-3.073314059,-3.483,-3.138244599
-2.015,-0.668322983,0.227,1.002355693,-2.308,-0.938709261,-3.858,-3.772495648,-3.652,-2.484377047,-3.938,-3.646923827,-4.031,-3.346314059,-3.487,-3.14648291
-2.157,-0.810322983,-0.165,0.655978104,-2.176,-0.806994081,-3.84,-3.756618647,-3.764,-2.59982891,-3.477,-3.186115505,-3.77,-3.084453995,-3.533,-3.204003313
-2.087,-0.740322983,-0.585,0.225553308,-2.115,-0.747986969,-3.861,-3.663233935,-3.758,-2.617501798,-3.359,-3.06797056,-3.89,-3.203597322,-3.548,-3.219003313
-2.032,-0.684208019,-1.546,-0.796329785,-1.888,-0.520633669,-3.833,-3.749618647,-3.561,-2.440926279,-3.958,-3.66697056,-3.785,-3.099453995,-3.602,-3.281354425
-2.111,-0.763208019,-2.397,-1.704690924,-2.227,-0.8623371,-3.82,-3.738620642,-3.235,-2.131634842,-3.457,-3.16621619,-3.916,-3.231314059,-3.516,-3.195354425
-1.887,-0.539208019,-2.804,-2.138438045,-2.568,-1.2033371,-3.852,-3.654233935,-3.414,-2.341223555,-3.514,-3.22297056,-3.692,-3.006453995,-3.506,-3.189497668
-1.759,-0.410297118,-2.945,-2.306514895,-1.854,-0.491556401,-3.812,-3.730620642,-3.72,-2.667622079,-3.67,-3.37921619,-3.908,-3.221597322,-3.493,-3.176497668
-1.77,-0.421297118,-3.057,-2.468632069,-2.247,-0.887560116,-3.845,-3.641702873,-3.838,-2.81619978,-3.688,-3.397165435,-3.898,-3.217602786,-3.495,-3.178497668
-1.943,-0.593367658,-2.934,-2.39689637,-2.237,-0.878119791,-3.77,-3.695413,-3.867,-2.865555039,-3.791,-3.50021619,-3.871,-3.188842844,-3.56,-3.247619126
-2.077,-0.727367658,-2.614,-2.113464002,-2.242,-0.885928732,-3.809,-3.729501341,-3.779,-2.812288639,-3.703,-3.412165435,-3.585,-2.903721143,-3.465,-3.156718626
-2.075,-0.724920288,-3.061,-2.597090371,-2.439,-1.082928732,-3.79,-3.743937172,-3.262,-2.340269965,-3.719,-3.428444023,-3.549,-2.867721143,-3.468,-3.159718626
-2.051,-0.700920288,-3.023,-2.577409721,-2.327,-0.973298852,-3.768,-3.721937172,-2.884,-1.99260778,-3.672,-3.381547132,-3.88,-3.200487753,-3.541,-3.246477263
-2.03,-0.679920288,-2.6,-2.142700833,-2.249,-0.895298852,-3.796,-3.74823946,-2.726,-1.869342543,-3.644,-3.353653595,-3.816,-3.132967907,-3.532,-3.24142652
-1.949,-0.598682584,-3.029,-2.583630082,-2.214,-0.863526737,-3.778,-3.733511028,-2.674,-1.88135895,-3.535,-3.244444023,-3.886,-3.202967907,-3.488,-3.19742652
-1.741,-0.390600683,-2.26,-1.808467472,-2.628,-1.280535921,-3.773,-3.7299608,-2.652,-1.918431333,-3.698,-3.407547132,-3.811,-3.131487753,-3.537,-3.24642652
-1.699,-0.348600683,-1.862,-1.421810825,-2.375,-1.028310918,-3.76,-3.7169608,-2.531,-1.851085333,-3.663,-3.372599939,-3.842,-3.158967907,-3.539,-3.24842652
-1.486,-0.135851966,-2.801,-2.378353508,-2.551,-1.207246239,-3.771,-3.724937172,-2.174,-1.537723119,-3.535,-3.244393703,-3.905,-3.221967907,-3.525,-3.23835332
-1.527,-0.176851966,-2.808,-2.427161145,-2.103,-0.755994938,-3.798,-3.74841814,-2.012,-1.41421021,-3.598,-3.307547132,-3.871,-3.195835653,-3.532,-3.242115229
-1.663,-0.312877875,-2.728,-2.38934223,-2.233,-0.890081011,-3.847,-3.670632629,-2.052,-1.486987051,-3.668,-3.377599939,-3.856,-3.176335816,-3.51,-3.224011954
-1.611,-0.260877875,-2.717,-2.453292878,-2.301,-0.956419964,-3.802,-3.75423946,-3.08,-2.546792692,-3.71,-3.419599939,-3.762,-3.086835653,-3.505,-3.219011954
-1.21,0.139359443,-2.625,-2.404649543,-1.91,-0.563794033,-3.764,-3.722286275,-3.334,-2.831618019,-3.751,-3.460393703,-3.849,-3.169335816,-3.505,-3.219011954
-1.607,-0.257640557,-2.6,-2.457023795,-2.106,-0.760602469,-3.871,-3.688881599,-3.155,-2.670203804,-3.562,-3.271946851,-3.905,-3.225335816,-3.535,-3.252886236
-2.055,-0.705760795,-2.493,-2.428898965,-2.27,-0.926246239,-3.768,-3.726286275,-2.304,-1.836564464,-3.82,-3.529946851,-3.843,-3.167835653,-3.489,-3.210737967
