Lat,Lon,Elevation [m]
47.264061,22.5648575,-3676
47.2718582,22.5820656,-3649
47.3194885,22.6673298,-3675
47.3553429,22.764267,-3630
47.3445892,22.876133,-3651
47.297821,22.9655075,-3630
47.2319908,23.0178471,-3625
46.5695038,20.5246849,-3490
46.5681458,20.5299644,-3468
46.5690155,20.6388283,-3478
46.5430031,20.7389927,-3471
46.5168762,20.8390274,-3398
46.5895195,21.223753,-3547
46.593132,21.2257957,-3534
46.5736313,21.3297291,-3446
46.679451,23.7285194,-3213
46.6865501,23.7330704,-3298
46.7230072,23.8368626,-3003
45.993885,18.3787403,-3630
45.9926682,18.3840141,-3640
45.9658165,18.4823666,-3527
45.9519882,18.6982231,-3541
45.9808884,18.8002853,-3555
46.0413895,18.9063835,-3538
46.1092033,18.9988174,-3516
46.1610756,19.0895405,-3520
45.545929,14.6326189,-3577
45.5514297,14.6460276,-3589
45.5822372,14.7598667,-3567
45.6334763,14.8703041,-3562
45.6773987,14.955451,-3534
45.7236824,15.0702963,-3517
45.7157402,15.1758223,-3544
45.6640968,15.258564,-3536
45.9425163,18.5823536,-3530
45.3560753,12.5105143,-3465
45.3555412,12.5139303,-3461
45.3752403,12.6134205,-3619
45.3835945,12.7201729,-3667
45.3696823,12.8233881,-3692
45.3532448,12.9257498,-3632
45.3223076,13.0232973,-3573
45.3056221,13.1254549,-3652
45.29599,13.2299271,-3661
45.2814445,13.3327379,-3648
45.2691574,13.436285,-3631
45.2871399,13.5393944,-3631
45.3305511,13.6262293,-3648
45.3714981,13.7124214,-3593
45.4212875,13.7910843,-3615
45.4680443,13.872508,-3654
45.5081749,13.9626551,-3615
45.4783478,14.0750875,-3604
45.4120674,14.1200714,-3792
45.3416481,14.1453781,-3872
45.2629662,14.1316166,-3857
45.1908379,14.1525784,-3884
45.1299858,14.2097969,-3911
45.4038048,14.3649492,-3440
45.3963547,14.3622332,-3429
45.3265762,14.3311882,-3467
45.2520752,14.3266754,-3457
45.3928032,15.3007832,-3434
45.3907738,15.3113403,-3463
45.4280281,15.4281387,-3851
45.4571037,15.5249033,-3811
45.4364548,15.6304846,-3542
45.4082718,15.7329874,-3501
45.363575,15.8173618,-3552
45.4321098,16.2897263,-3537
45.4399452,16.3101139,-3487
45.4929314,16.3837032,-3482
45.4796371,16.4867783,-3518
45.4463615,16.6271076,-3503
45.424942,16.8238869,-3785
45.4436798,16.8491402,-3801
45.4577866,16.952631,-3714
45.4463234,17.0622692,-3533
45.4638367,17.1674595,-3433
44.6677589,11.8970575,-3720
45,14.4144697,-3285
44.9215698,14.4030342,-3245
44.8510933,14.3775129,-3268
44.7815933,14.3468561,-3099
44.711174,14.3215199,-3131
44.6681671,14.4059706,-3543
44.6731987,14.5077333,-3513
44.7078629,14.5981932,-3481
44.7471046,14.6849613,-3489
44.7815895,14.7757359,-3523
44.803669,14.8899632,-3461
44.7664413,14.9819918,-3669
44.695446,15.0221004,-3406
44.2569542,9.6313963,-3534
44.3242302,9.5868015,-3523
44.3599358,9.4956856,-3523
44.4286957,9.4641104,-3560
44.3950043,9.5645428,-3604
44.3411598,9.6513834,-3550
44.2942848,9.7310362,-3599
44.2643394,9.8232546,-3622
44.2988052,9.9440784,-3655
44.3373528,10.0315018,-3756
44.3614311,10.1588621,-3830
44.3544579,10.2611904,-3760
44.3476028,10.3852396,-3582
44.370903,10.4910679,-3661
44.3989449,10.606986,-3658
44.4996376,11.2747316,-3685
44.502037,11.2797699,-3702
44.5553398,11.3865528,-3778
44.577343,11.493474,-3785
44.5655785,11.6170979,-3616
44.5945053,11.7175074,-3749
44.6311798,11.8072014,-3762
44.5958633,13.9742908,-3401
44.5982399,13.9751205,-3346
44.5992737,13.869319,-3361
44.5568848,13.7662992,-3260
44.5191917,13.6792469,-3043
44.4531441,13.6250362,-3003
44.3819275,13.6008911,-2991
44.3118057,13.5561361,-3166
44.3117256,13.4543839,-3028
44.3292618,13.3515081,-3348
44.3691788,13.2489414,-3314
44.4253693,13.1831503,-3324
44.4881172,13.1228456,-3279
44.4072189,13.0964556,-3274
44.3399315,13.169198,-3263
44.2710609,13.206193,-3077
44.6203346,15.0215874,-3168
44.0074844,9.8001347,-3531
44.0285873,9.7794247,-3530
44.0754166,9.7003393,-3534
44.116684,9.6154728,-3539
44.1873589,9.5933752,-3541
44.1725922,13.1809721,-3352
44.1301804,13.0904255,-3437
44.0578766,13.0739965,-3441
44.0121193,13.1530914,-3427
43.9555626,13.2215567,-3033
43.8874245,13.2548351,-3095
43.8168106,13.2733355,-3434
43.378849,8.9288721,-3624
43.4473495,8.8929863,-3646
43.4450264,8.9939156,-3487
43.3885803,9.0576105,-3626
43.4118767,9.3035898,-3781
43.4836655,9.3198032,-3663
43.5714417,9.3312054,-3758
43.5281487,9.41043,-3840
43.451889,9.431119,-3853
43.3821449,9.4743452,-3743
43.4649544,10.1377144,-3753
43.4679413,10.1384497,-3768
43.5424652,10.1100798,-3759
43.6028061,10.0483227,-3693
43.6214294,9.9507055,-3805
43.6249847,9.8494129,-3720
43.6349068,9.7453909,-3716
43.6960945,9.7982883,-3681
43.7555809,9.8893604,-3511
43.7601547,13.2098913,-3393
43.7250023,13.1225061,-3338
43.6985092,13.0277205,-3337
43.6946564,12.9161491,-3150
43.6766434,12.8139772,-3056
43.642025,12.9029179,-3287
43.6280632,13.0017662,-3257
43.6359749,13.1179562,-3206
43.6623497,13.2126551,-3258
43.6645432,13.3168573,-3169
43.6407204,13.4263363,-3415
43.5774765,13.4744015,-3358
43.5033875,13.4843264,-2853
43.4140587,13.4960337,-3039
43.4102974,14.5339642,-2851
43.4799805,14.5588684,-2882
43.538372,14.6230335,-2861
43.527462,14.7218056,-2916
43.484417,14.8034515,-3239
43.4195595,14.8553877,-3240
43.3583565,14.9085026,-3092
42.9706535,7.9234519,-3542
42.9728127,7.932198,-3532
42.9964905,8.0284653,-3593
42.9863014,8.1265965,-3642
42.949955,8.2112017,-3731
42.9545975,8.9966698,-3613
43.0261993,9.0121822,-3590
43.0978394,9.0277472,-3557
43.1699905,9.0392704,-3469
43.2431335,9.0426264,-3707
43.3174477,8.9830313,-3507
43.3295975,9.1163626,-3758
43.2865982,9.1953506,-3740
43.3360977,9.2696505,-3789
43.3497124,9.5640421,-3562
43.3350258,9.683116,-3759
43.3227386,9.7815962,-3733
43.3098106,9.8841181,-3848
43.2972755,9.9824791,-3834
43.2613068,10.0708675,-3869
43.1965256,10.1436138,-3922
43.1308784,10.1990881,-3886
43.3379707,13.5463076,-3212
43.2665215,13.5842505,-3257
43.1930809,13.576993,-3292
43.1219482,13.5568743,-3065
43.0508499,13.5368242,-3344
43.0508499,13.5368242,-3344
42.9773064,13.5300398,-3257
43.2152863,13.8972292,-3285
43.1905327,13.9048595,-3321
43.1218147,13.9402418,-3312
43.137455,14.0469999,-3395
43.1997795,14.1111879,-3174
43.2593384,14.1692581,-2862
43.2206154,14.252223,-3292
43.1781578,14.3337498,-3226
43.2098045,14.4359217,-2838
43.2681808,14.4994993,-2831
43.3387489,14.5192223,-2889
43.278141,14.938345,-2794
43.2077103,14.917944,-3011
43.1363449,14.9026175,-2781
42.5102844,7.6595149,-3576
42.5818901,7.6725979,-3575
42.6662827,7.6797948,-3596
42.76688,7.6775556,-3594
42.899025,8.2886095,-3728
42.8374138,8.351222,-3737
42.7596474,8.393795,-3634
42.7281456,8.4870415,-3698
42.7728729,8.5792227,-3654
42.7961731,8.6713257,-3616
42.8056068,8.7772779,-3622
42.8445168,8.8646011,-3619
42.8976135,8.9342995,-3638
42.9024162,13.5584307,-3188
42.8341217,13.6153393,-2898
42.7602768,13.6596584,-3335
42.5299454,13.8833809,-2290
42.5262947,13.8821564,-2289
42.1438484,7.9526482,-3565
42.1527672,7.9543285,-3525
