Lat,Lon,Elevation [m]
53.7405777,-66.4827881,-3422
53.7934761,-66.2136154,-3560
53.8054466,-65.9408722,-3633
53.788353,-65.6725769,-3620
53.7548218,-65.3846283,-3610
53.7241554,-65.1100845,-3581
53.7289886,-64.8247223,-3586
53.7248154,-64.5453949,-3558
53.7317657,-64.2727509,-3630
53.7660446,-63.9940987,-3823
53.8114967,-63.7213783,-3877
53.8480911,-63.4543381,-3910
53.8316727,-63.1807594,-3943
53.7943497,-62.9077301,-3866
53.7243042,-62.6613464,-3784
53.4456406,-67.1581268,-3538
53.5993195,-67.0408401,-3237
53.6809998,-66.8014145,-3347
53.6933784,-62.3831062,-3574
53.6536636,-62.111969,-3591
53.5814629,-61.8680992,-3452
53.4928017,-61.6385918,-3304
53.4114418,-61.4034729,-3533
53.3294678,-61.1694031,-3632
53.3218079,-60.372261,-3822
53.4097939,-60.1318474,-3812
53.4971313,-59.8902779,-3879
53.5469589,-59.632412,-3888
53.5791626,-59.3567276,-3897
53.5982056,-59.0756989,-3876
53.5886765,-58.8042603,-3913
53.5383148,-58.5383644,-3967
53.4948082,-58.2657967,-3971
53.4828415,-57.9953728,-4009
53.452877,-57.708847,-4033
53.4068642,-57.4379387,-4036
53.3551674,-57.1559143,-4016
53.3274422,-56.8828621,-4010
52.8972092,-67.1838074,-2824
53.0486832,-67.3115387,-3109
53.2220688,-67.3047562,-3416
53.2782784,-60.909153,-3822
53.2698708,-60.6275139,-3677
53.2714462,-56.6216583,-4007
53.1922569,-56.3844872,-4011
53.1124382,-56.1483383,-3999
53.0171242,-55.9288101,-3999
52.9286842,-55.7025909,-4000
52.5569191,-67.0450058,-2471
52.7229576,-67.1167755,-2679
52.8322716,-55.4852982,-3978
52.7353287,-55.2691345,-3968
52.6452179,-55.0462036,-3958
52.5472031,-54.8322639,-3903
52.44347,-54.6082764,-3979
52.0829582,-67.3038864,-2867
52.2263794,-67.1537628,-2830
52.3835602,-67.0528564,-2840
52.3443909,-54.3966331,-4018
52.2448044,-54.1861,-3996
52.1063919,-54.0355759,-3972
51.5793266,-68.6709824,-3550
51.6853218,-68.4503479,-3053
51.794075,-68.2409897,-3051
51.8789368,-68.0155106,-2972
51.9280777,-67.7668228,-3070
51.9765015,-67.5174942,-2881
51.9604683,-53.8941231,-3979
51.8379593,-53.7109871,-3972
51.7222862,-53.5210381,-3981
51.5917892,-53.3482323,-3965
51.2012901,-69.4421921,-3575
51.3156357,-69.2507095,-3455
51.4199066,-69.0207214,-3571
51.4828568,-68.892189,-3494
51.4843788,-68.898056,-3478
51.4230652,-53.3019295,-3980
51.252491,-53.2746162,-3993
50.7402573,-69.7781448,-3269
50.8940849,-69.667038,-3521
51.0508957,-69.5674362,-3538
51.0764236,-53.3030434,-3941
50.9058495,-53.2759666,-4000
50.7587013,-53.1416779,-3767
50.7091675,-51.5254784,-4010
50.2779083,-70.1062851,-3473
50.4229469,-69.9611053,-3346
50.5801086,-69.8638611,-3141
50.6489487,-52.9507446,-3909
50.5459137,-52.7529831,-3955
50.5174828,-52.5056419,-3941
50.5781097,-52.2566719,-3995
50.5930939,-52.0082245,-3952
50.6633453,-51.7785721,-3953
50.6967239,-51.2719002,-4022
50.6638985,-51.0247765,-3994
50.5437202,-50.8302193,-3963
50.43573,-50.6386528,-3948
50.327301,-50.4481316,-3938
49.9253845,-70.6835938,-2832
50.0365219,-70.4775391,-2857
50.1471367,-70.27034,-3305
50.2115288,-50.2669182,-3939
50.0666656,-50.1379776,-3960
49.8918343,-50.0790939,-3949
49.4196548,-80.4574203,-695
49.4175682,-80.2135544,-2407
49.4181175,-73.5176392,-2998
49.538826,-73.3343582,-3105
49.5892982,-73.0868301,-3339
49.5967445,-72.817215,-3117
49.5802803,-72.571106,-2710
49.5914688,-72.3257294,-2987
49.6104622,-72.0763092,-3392
