,LON,LAT,ELEV,THARSIS,TPW,PALEO,OPT
0,-151.0930328,22.978878,-3.87,-0.25619899190075923,-0.00012388577570085957,-3.61367712232354,-3.6261438954742617
1,-151.0894775,23.6069336,-3.87,-0.26799974765809,-0.00012552430748310963,-3.601874728034427,-3.614915534114131
2,-151.0814972,23.1014786,-3.868,-0.2600201896314971,-0.0001244433008072914,-3.6078553670676956,-3.6205080188892724
3,-151.078125,23.8601818,-3.87,-0.2721569228506292,-0.0001260477067296521,-3.597717029442641,-3.610960053465756
4,-151.0777893,23.7304211,-3.868,-0.26799974765809,-0.00012552430748310963,-3.5998747280344268,-3.612915534114131
5,-151.074295,22.8553066,-3.87,-0.25619899190075923,-0.00012388577570085957,-3.61367712232354,-3.6261438954742617
6,-151.0621643,22.7210121,-3.872,-0.25249094371899783,-0.00012331695907129793,-3.619385739321931,-3.631672136506056
7,-151.0542603,23.9779129,-3.867,-0.2721569228506292,-0.0001260477067296521,-3.594717029442641,-3.607960053465756
8,-151.0519104,23.4873791,-3.869,-0.26395396960444734,-0.00012498949193289776,-3.60492104090362,-3.6177650465061513
9,-151.0447845,23.2401085,-3.87,-0.2600201896314971,-0.0001244433008072914,-3.609855367067696,-3.6225080188892727
10,-151.0435944,22.5978012,-3.873,-0.25249094371899783,-0.00012331695907129793,-3.620385739321931,-3.632672136506056
11,-151.0433502,22.4699116,-3.877,-0.24889659546601,-0.0001227368942361944,-3.6279806676397537,-3.640092218332462
12,-151.0330811,23.3630714,-3.869,-0.26395396960444734,-0.00012498949193289776,-3.60492104090362,-3.6177650465061513
13,-151.0249023,22.3470535,-3.876,-0.24889659546601,-0.0001227368942361944,-3.626980667639754,-3.6390922183324625
14,-151.0114441,24.100729,-3.871,-0.276424877536726,-0.00012655964981364635,-3.59444856281346,-3.607899192203875
15,-151.0065308,22.2243671,-3.873,-0.2454164805246728,-0.00012214562536973236,-3.6274613738499575,-3.6394036334707174
16,-150.9562988,24.2175388,-3.87,-0.2477110263922017,-0.0001274496783767863,-3.6221615239294214,-3.634215641326982
17,-150.9054413,21.9603214,-3.886,-0.21247612248702574,-0.00012239931872389713,-3.67340147819425,-3.683741630300675
18,-150.8995209,24.3627853,-3.87,-0.25219291208628347,-0.0001279536251609512,-3.6176791342885557,-3.629951261624723
19,-150.8694305,21.8429241,-3.871,-0.21247612248702574,-0.00012239931872389713,-3.65840147819425,-3.668741630300675
20,-150.8405304,21.4619732,-3.867,-0.20591862280379206,-0.00012115305703903724,-3.6609602241391688,-3.6709813785868994
21,-150.833847,21.599081,-3.866,-0.2091386528132745,-0.00012178174687216019,-3.656739565439853,-3.6669173630314353
22,-150.8335724,21.725668,-3.868,-0.2091386528132745,-0.00012178174687216019,-3.6587395654398533,-3.668917363031435
23,-150.8316498,24.4736519,-3.872,-0.25219291208628347,-0.0001279536251609512,-3.619679134288556,-3.6319512616247227
24,-150.8114014,21.3345356,-3.868,-0.20591862280379206,-0.00012115305703903724,-3.661960224139169,-3.6719813785868993
25,-150.7888184,21.1966057,-3.861,-0.20281650833071427,-0.0001205132971016931,-3.658062978372184,-3.6679332241943716
26,-150.7713776,21.0755081,-3.865,-0.20281650833071427,-0.0001205132971016931,-3.662062978372184,-3.6719332241943716
27,-150.763504,24.5845852,-3.871,-0.2567858655789634,-0.0001284459839513031,-3.6140856884370853,-3.6265812271516262
28,-150.7362518,20.9592628,-3.864,-0.16971888829218415,-0.00012070078395563219,-3.69416041092386,-3.7024208972613173
29,-150.7194977,24.7080402,-3.872,-0.2280940639623058,-0.00012934124163367785,-3.6437765947960608,-3.654876694194734
30,-150.7068176,20.7344513,-3.861,-0.16677271194574497,-0.00012003481611861787,-3.6941072532381365,-3.7022244140364293
31,-150.6630402,24.8253899,-3.872,-0.23290521223205332,-0.0001298253457256035,-3.638964962422221,-3.6502990851349004
32,-150.6367188,20.6279106,-3.855,-0.16677271194574497,-0.00012003481611861787,-3.6881072532381363,-3.696224414036429
33,-150.6186066,24.9491081,-3.872,-0.23290521223205332,-0.0001298253457256035,-3.638964962422221,-3.6502990851349004
34,-150.5931702,25.0681076,-3.871,-0.23782760161299732,-0.00013029773261882444,-3.6330421006543845,-3.6446156565439547
35,-150.5922852,25.1998329,-3.871,-0.23782760161299732,-0.00013029773261882444,-3.6330421006543845,-3.6446156565439547
36,-150.5845337,20.5168228,-3.852,-0.16677271194574497,-0.00012003481611861787,-3.685107253238136,-3.693224414036429
37,-150.5666656,25.3191528,-3.871,-0.24286050443321552,-0.00013075836633925033,-3.6280087372004455,-3.6398271007362712
38,-150.5409393,25.4386196,-3.87,-0.24286050443321552,-0.00013075836633925033,-3.6270087372004456,-3.6388271007362714
39,-150.5389099,20.3952961,-3.849,-0.16394753174715318,-0.00011935787666963451,-3.684933110376177,-3.692912829990072
40,-150.5110779,20.2693424,-3.846,-0.16394753174715318,-0.00011935787666963451,-3.681933110376177,-3.689912829990072
41,-150.4945526,20.1495171,-3.849,-0.13069274261469746,-0.00011949409845156479,-3.718187763286851,-3.7245500766910404
42,-150.4832764,25.5567627,-3.87,-0.21957152573361352,-0.00013211380125882285,-3.650296360465127,-3.6609820841090643
43,-150.4620972,20.0074902,-3.85,-0.13069274261469746,-0.00011949409845156479,-3.719187763286851,-3.7255500766910403
44,-150.4235077,19.8761559,-3.85,-0.12803407112414894,-0.00011879102800809366,-3.721847137847843,-3.728080107279012
45,-150.40448,25.812458,-3.871,-0.22493802853155861,-0.00013255395548950535,-3.6459294175129515,-3.6568761731057497
46,-150.3898926,19.7613926,-3.849,-0.12803407112414894,-0.00011879102800809366,-3.720847137847843,-3.7270801072790123
47,-150.358551,25.9373474,-3.868,-0.22493802853155861,-0.00013255395548950535,-3.642929417512952,-3.6538761731057496
48,-150.3279724,19.6453266,-3.851,-0.1254993844437077,-0.00011807709402686762,-3.7253825384622656,-3.7314921936399714
49,-150.3123932,26.0623722,-3.866,-0.23041426208141508,-0.00013298219808222003,-3.635452755720503,-3.646665879656262
50,-150.3009949,19.5204277,-3.853,-0.1254993844437077,-0.00011807709402686762,-3.7273825384622654,-3.7334921936399716
51,-150.2568359,19.4001637,-3.851,-0.12308905427703423,-0.00011735235087672375,-3.7277935933720885,-3.7337859820970807
52,-150.2534943,26.1811142,-3.869,-0.23041426208141508,-0.00013298219808222003,-3.638452755720503,-3.649665879656262
53,-150.231781,19.1527367,-3.857,-0.08975821021510592,-0.000117421927866264,-3.767124367857028,-3.771495648048094
54,-150.2191772,19.26968,-3.853,-0.09211586858954926,-0.00011816189305036869,-3.7607659695174003,-3.7652519551041213
55,-150.2162018,19.0344715,-3.858,-0.08975821021510592,-0.000117421927866264,-3.7681243678570278,-3.772495648048094
56,-150.2069397,18.9060574,-3.84,-0.08752742675041923,-0.00011667121678165637,-3.7523559020327992,-3.7566186471192364
57,-150.1817932,26.2935123,-3.861,-0.20774224275824368,-0.0001343124055498697,-3.6531234448362064,-3.6632339346998997
58,-150.1743774,18.7925453,-3.833,-0.08752742675041923,-0.00011667121678165637,-3.7453559020327996,-3.7496186471192368
59,-150.1497803,18.6424351,-3.82,-0.08542384413812693,-0.0001159098169661014,-3.7344602460449074,-3.7386206421733896
60,-150.1097565,26.4059658,-3.852,-0.20774224275824368,-0.0001343124055498697,-3.6441234448362065,-3.6542339346998993
61,-150.0834045,18.5379848,-3.812,-0.08542384413812693,-0.0001159098169661014,-3.7264602460449074,-3.7306206421733896
62,-150.0248413,26.5119877,-3.845,-0.21355566461233472,-0.00013471967346873358,-3.631309615714197,-3.641702872724772
63,-150.0115662,17.6429253,-3.77,-0.0782873883606716,-0.0001127585021819482,-3.6915998531371463,-3.69541300026932
64,-150.0048218,18.4540787,-3.809,-0.08344776969424694,-0.00011513778640314301,-3.7254370925193503,-3.729501340786299
