,LON,LAT,ELEV,THARSIS,TPW,PALEO,OPT
0,-151.0930328,22.978878,-3.87,-0.25619899190075923,-0.00012388577570085957,-3.61367712232354,-3.7149173746254367
1,-151.0894775,23.6069336,-3.87,-0.26799974765809,-0.00012552430748310963,-3.601874728034427,-3.7077765906710223
2,-151.0814972,23.1014786,-3.868,-0.2600201896314971,-0.0001244433008072914,-3.6078553670676956,-3.710605104086076
3,-151.078125,23.8601818,-3.87,-0.2721569228506292,-0.0001260477067296521,-3.597717029442641,-3.705261064866322
4,-151.0777893,23.7304211,-3.868,-0.26799974765809,-0.00012552430748310963,-3.5998747280344268,-3.705776590671022
5,-151.074295,22.8553066,-3.87,-0.25619899190075923,-0.00012388577570085957,-3.61367712232354,-3.7149173746254367
6,-151.0621643,22.7210121,-3.872,-0.25249094371899783,-0.00012331695907129793,-3.619385739321931,-3.719161193303788
7,-151.0542603,23.9779129,-3.867,-0.2721569228506292,-0.0001260477067296521,-3.594717029442641,-3.7022610648663217
8,-151.0519104,23.4873791,-3.869,-0.26395396960444734,-0.00012498949193289776,-3.60492104090362,-3.709224724948109
9,-151.0447845,23.2401085,-3.87,-0.2600201896314971,-0.0001244433008072914,-3.609855367067696,-3.712605104086076
10,-151.0435944,22.5978012,-3.873,-0.25249094371899783,-0.00012331695907129793,-3.620385739321931,-3.720161193303788
11,-151.0433502,22.4699116,-3.877,-0.24889659546601,-0.0001227368942361944,-3.6279806676397537,-3.726336227099503
12,-151.0330811,23.3630714,-3.869,-0.26395396960444734,-0.00012498949193289776,-3.60492104090362,-3.709224724948109
13,-151.0249023,22.3470535,-3.876,-0.24889659546601,-0.0001227368942361944,-3.626980667639754,-3.725336227099503
14,-151.0114441,24.100729,-3.871,-0.276424877536726,-0.00012655964981364635,-3.59444856281346,-3.7036785212511054
15,-151.0065308,22.2243671,-3.873,-0.2454164805246728,-0.00012214562536973236,-3.6274613738499575,-3.7244421532740577
16,-150.9562988,24.2175388,-3.87,-0.2477110263922017,-0.0001274496783767863,-3.6221615239294214,-3.720050678713233
17,-150.9054413,21.9603214,-3.886,-0.21247612248702574,-0.00012239931872389713,-3.67340147819425,-3.7573718525195265
18,-150.8995209,24.3627853,-3.87,-0.25219291208628347,-0.0001279536251609512,-3.6176791342885557,-3.717338705596519
19,-150.8694305,21.8429241,-3.871,-0.21247612248702574,-0.00012239931872389713,-3.65840147819425,-3.7423718525195264
20,-150.8405304,21.4619732,-3.867,-0.20591862280379206,-0.00012115305703903724,-3.6609602241391688,-3.7423400802076796
21,-150.833847,21.599081,-3.866,-0.2091386528132745,-0.00012178174687216019,-3.656739565439853,-3.739391490167442
22,-150.8335724,21.725668,-3.868,-0.2091386528132745,-0.00012178174687216019,-3.6587395654398533,-3.741391490167442
23,-150.8316498,24.4736519,-3.872,-0.25219291208628347,-0.0001279536251609512,-3.619679134288556,-3.7193387055965186
24,-150.8114014,21.3345356,-3.868,-0.20591862280379206,-0.00012115305703903724,-3.661960224139169,-3.7433400802076795
25,-150.7888184,21.1966057,-3.861,-0.20281650833071427,-0.0001205132971016931,-3.658062978372184,-3.738217334695105
26,-150.7713776,21.0755081,-3.865,-0.20281650833071427,-0.0001205132971016931,-3.662062978372184,-3.742217334695105
