,LON,LAT,ELEV,THARSIS,TPW,PALEO,OPT
0,-24.9099998,13.4799995,-2.699,-1.7906166461103237,-2.7034129523104474e-05,-0.9083563197601532,-0.9083563197601531
1,-24.7099991,15.7600002,-2.572,-1.7908358378087879,-2.9004546263161284e-05,-0.781135157644949,-0.781135157644949
2,-24.5100002,16.4300003,-2.739,-1.7913247303576276,-2.946057804403581e-05,-0.9476458090643283,-0.9476458090643283
3,-24.2099991,16.7800007,-2.66,-1.78682560540206,-2.8470138169028563e-05,-0.8731459244597711,-0.8731459244597712
4,-24.0100002,17.0200005,-2.723,-1.7871167532297023,-2.866622739343675e-05,-0.9358545805429044,-0.9358545805429042
5,-23.9099998,18.2600002,-2.934,-1.7858081793645897,-2.8818798123040308e-05,-1.1481630018372873,-1.1481630018372875
6,-23.8099995,20.0699997,-3.034,-1.787734084086256,-2.9820087401632514e-05,-1.2462360958263423,-1.2462360958263423
7,-23.7099991,20.6100006,-3.194,-1.785573576868211,-2.9252610356724323e-05,-1.4083971705214322,-1.4083971705214322
8,-23.6100006,21.1299992,-3.068,-1.7861183446761093,-2.945875045300262e-05,-1.2818521965734377,-1.2818521965734377
9,-23.0100002,22.7800007,-3.302,-1.7823139662933296,-2.830092579873076e-05,-1.5196577327808716,-1.5196577327808718
10,-22.8099995,23.0799999,-3.573,-1.7794885918201349,-2.7487466893408124e-05,-1.7934839207129716,-1.7934839207129716
11,-22.6100006,23.8799992,-3.739,-1.7771409323801464,-2.6706434012479518e-05,-1.961832361185841,-1.961832361185841
12,-21.8099995,24.8700008,-3.857,-1.7675752668523974,-2.4058103733439162e-05,-2.089400675043869,-2.089400675043869
13,-21.6000004,25.0,-3.888,-1.7639364340834427,-2.314229980215243e-05,-2.124040423616755,-2.124040423616755
14,-21.3999996,25.1299992,-3.907,-1.7596936245042336,-2.224786615075967e-05,-2.1472841276296157,-2.1472841276296157
15,-21.2999992,25.2000008,-3.881,-1.7596936245042336,-2.224786615075967e-05,-2.121284127629616,-2.1212841276296155
16,-20.8999996,25.4599991,-3.033,-1.7510653212573357,-2.0418738356479876e-05,-1.2819142600043079,-1.2819142600043076
17,-20.2999992,25.8600006,-3.819,-1.742266737079367,-1.8506302602873194e-05,-2.07671475661803,-2.07671475661803
18,-20.2000008,25.9300003,-3.925,-1.737071729901429,-1.7604957001936955e-05,-2.187910665141569,-2.1879106651415685
19,-19.8999996,26.4599991,-3.806,-1.7328838289625277,-1.6542198660120213e-05,-2.0730996288388117,-2.073099628838812
20,-19.0,28.5599995,-4.007,-1.7217013179026155,-1.2749908781432864e-05,-2.285285932188603,-2.2852859321886023
21,-17.8999996,29.6900005,-3.586,-1.6940986036360768,-7.370854303809369e-06,-1.8918940255096193,-1.8918940255096193
22,-17.5900002,29.8899994,-3.776,-1.68837439730984,-6.23602832387942e-06,-2.0876193666618366,-2.087619366661836
23,-16.9899998,30.1700001,-3.62,-1.6688194159989764,-3.174727277595007e-06,-1.951177409273746,-1.9511774092737462
24,-16.6900005,30.3099995,-3.459,-1.6626551544930692,-2.0151142556200346e-06,-1.7963428303926754,-1.7963428303926752
25,-15.9899998,30.6299992,-3.985,-1.6415949218270598,1.0722215918359442e-06,-2.3434061503945323,-2.343406150394532
26,-15.6899996,30.9400005,-3.935,-1.6350461101646825,2.255252971259582e-06,-2.299956145088289,-2.299956145088289
27,-15.4899998,31.2399998,-3.889,-1.6284255211246406,3.4473715650975035e-06,-2.2605779262469246,-2.260577926246924
28,-15.1899996,31.6900005,-3.985,-1.6228684513091307,4.891600017372584e-06,-2.3621364402908864,-2.362136440290887
29,-14.9899998,32.0,-3.655,-1.617303944529477,6.360188995158914e-06,-2.037702415659518,-2.037702415659518
30,-14.8900003,32.1500015,-3.873,-1.617303944529477,6.360188995158914e-06,-2.255702415659518,-2.2557024156595182
31,-14.79,32.2900009,-3.967,-1.618452014511901,6.615188122275131e-06,-2.3485546006762212,-2.3485546006762212
32,-14.29,32.5800018,-3.298,-1.6037518044794867,8.829711586602423e-06,-1.6942570252320999,-1.6942570252320999
33,-13.7799997,32.8499985,-3.792,-1.588699917452036,1.1053438587120158e-05,-2.203311135986551,-2.2033111359865507
34,-13.0799999,33.8699989,-3.737,-1.5690138101100202,1.5134734524055719e-05,-2.168001324624504,-2.168001324624504
35,-12.6800003,34.6100006,-4.096,-1.5563063597801756,1.8009886352597946e-05,-2.539711650106177,-2.539711650106177
36,-12.5799999,34.7999992,-3.508,-1.557755334012128,1.8316921537624115e-05,-1.9502629829094096,-1.9502629829094096
37,-12.3800001,35.1699982,-3.732,-1.5507016163078038,1.962071884151576e-05,-2.181318004411038,-2.181318004411038
